LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1706146415.476191,1530085.000,56289,3,AX,1,100,0.169
1706146415.515691,1530124.500,56308,2,AX,1,100,0.168
1706146415.555191,1530164.000,56308,2,AX,1,100,0.160
1706146415.595524,1530204.333,56323,3,AX,1,100,0.170
1706146415.635857,1530244.667,56323,3,AX,1,100,0.164
1706146415.676191,1530285.000,56323,3,AX,1,100,0.165
1706146415.716191,1530325.000,56340,2,AX,1,100,0.171
1706146415.756191,1530365.000,56340,2,AX,1,100,0.169
1706146415.795857,1530404.667,56358,3,AX,1,100,0.161
1706146415.835524,1530444.333,56358,3,AX,1,100,0.168
1706146415.875190,1530484.000,56358,3,AX,1,100,0.164
1706146415.915524,1530524.333,56376,3,AX,1,100,0.169
1706146415.955857,1530564.667,56376,3,AX,1,100,0.165
1706146415.996191,1530605.000,56376,3,AX,1,100,0.163
1706146416.035691,1530644.500,56390,2,AX,1,100,0.166
1706146416.075191,1530684.000,56390,2,AX,1,100,0.164
1706146416.115524,1530724.333,56407,3,AX,1,100,0.167
1706146416.155857,1530764.667,56407,3,AX,1,100,0.166
1706146416.196191,1530805.000,56407,3,AX,1,100,0.165
1706146416.235691,1530844.500,56423,2,AX,1,100,0.164
1706146416.275191,1530884.000,56423,2,AX,1,100,0.167
1706146416.315191,1530924.000,56441,3,AX,1,100,0.167
1706146416.355191,1530964.000,56441,3,AX,1,100,0.167
1706146416.395190,1531004.000,56441,3,AX,1,100,0.166
1706146416.429190,1531038.000,56457,2,AX,1,100,0.167
1706146416.463191,1531072.000,56457,2,AX,1,100,0.165
1706146416.503191,1531112.000,56474,3,AX,1,100,0.164
1706146416.543190,1531152.000,56474,3,AX,1,100,0.162
1706146416.583190,1531192.000,56474,3,AX,1,100,0.159
1706146416.623190,1531232.000,56493,3,AX,1,100,0.165
1706146416.663191,1531272.000,56493,3,AX,1,100,0.169
1706146416.703191,1531312.000,56493,3,AX,1,100,0.165
1706146416.743191,1531352.000,56514,2,AX,1,100,0.164
1706146416.783190,1531392.000,56514,2,AX,1,100,0.160
1706146416.822857,1531431.667,56528,3,AX,1,100,0.165
1706146416.862524,1531471.333,56528,3,AX,1,100,0.166
1706146416.902190,1531511.000,56528,3,AX,1,100,0.161
1706146416.942190,1531551.000,56546,2,AX,1,100,0.164
1706146416.982190,1531591.000,56546,2,AX,1,100,0.164
1706146417.022191,1531631.000,56562,3,AX,1,100,0.161
1706146417.062191,1531671.000,56562,3,AX,1,100,0.165
1706146417.102190,1531711.000,56562,3,AX,1,100,0.164
