LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1706146417.582191,1532191.000,56638,3,GX,1,100,-0.549
1706146417.622190,1532231.000,56653,2,GX,1,100,-0.366
1706146417.662190,1532271.000,56653,2,GX,1,100,-0.275
1706146417.702190,1532311.000,56672,3,GX,1,100,-0.153
1706146417.742190,1532351.000,56672,3,GX,1,100,-0.244
1706146417.782190,1532391.000,56672,3,GX,1,100,-0.397
1706146417.822191,1532431.000,56688,2,GX,1,100,-0.275
1706146417.862190,1532471.000,56688,2,GX,1,100,-0.275
1706146417.902190,1532511.000,56708,3,GX,1,100,-0.397
1706146417.942190,1532551.000,56708,3,GX,1,100,-0.336
1706146417.982190,1532591.000,56708,3,GX,1,100,-0.305
1706146418.022190,1532631.000,56722,2,GX,1,100,-0.397
1706146418.062190,1532671.000,56722,2,GX,1,100,-0.244
1706146418.102190,1532711.000,56741,3,GX,1,100,-0.214
1706146418.142190,1532751.000,56741,3,GX,1,100,-0.275
1706146418.182190,1532791.000,56741,3,GX,1,100,-0.458
1706146418.222190,1532831.000,56757,3,GX,1,100,-0.427
1706146418.262190,1532871.000,56757,3,GX,1,100,-0.305
1706146418.302190,1532911.000,56757,3,GX,1,100,-0.183
1706146418.342191,1532951.000,56777,2,GX,1,100,-0.366
1706146418.382190,1532991.000,56777,2,GX,1,100,-0.580
1706146418.422190,1533031.000,56794,3,GX,1,100,-0.488
1706146418.462190,1533071.000,56794,3,GX,1,100,-0.244
1706146418.502190,1533111.000,56794,3,GX,1,100,-0.031
1706146418.537857,1533146.667,56810,3,GX,1,100,-0.519
1706146418.573524,1533182.333,56810,3,GX,1,100,-0.732
1706146418.609190,1533218.000,56810,3,GX,1,100,-0.824
1706146418.649190,1533258.000,56827,2,GX,1,100,-0.824
1706146418.689190,1533298.000,56827,2,GX,1,100,-0.580
1706146418.729190,1533338.000,56844,3,GX,1,100,-0.061
1706146418.769190,1533378.000,56844,3,GX,1,100,0.000
1706146418.809190,1533418.000,56844,3,GX,1,100,-0.061
1706146418.849190,1533458.000,56859,2,GX,1,100,-0.214
1706146418.889190,1533498.000,56859,2,GX,1,100,-0.153
1706146418.929190,1533538.000,56878,3,GX,1,100,-0.305
1706146418.969190,1533578.000,56878,3,GX,1,100,-0.397
1706146419.009190,1533618.000,56878,3,GX,1,100,-0.549
1706146419.049190,1533658.000,56894,2,GX,1,100,-0.397
1706146419.089190,1533698.000,56894,2,GX,1,100,-0.153
1706146419.129190,1533738.000,56911,3,GX,1,100,0.000
1706146419.169190,1533778.000,56911,3,GX,1,100,-0.122
1706146419.209190,1533818.000,56911,3,GX,1,100,-0.214
1706146419.249190,1533858.000,56930,2,GX,1,100,-0.549
1706146419.289190,1533898.000,56930,2,GX,1,100,-0.519
1706146419.329190,1533938.000,56945,3,GX,1,100,-0.275
1706146419.369190,1533978.000,56945,3,GX,1,100,-0.061
1706146419.409190,1534018.000,56945,3,GX,1,100,-0.244
1706146419.448690,1534057.500,56963,2,GX,1,100,-0.427
1706146419.488190,1534097.000,56963,2,GX,1,100,-0.397
1706146419.528190,1534137.000,56980,3,GX,1,100,-0.336
1706146419.568190,1534177.000,56980,3,GX,1,100,-0.366
1706146419.608190,1534217.000,56980,3,GX,1,100,-0.366
1706146419.648524,1534257.333,56997,3,GX,1,100,-0.305
1706146419.688857,1534297.667,56997,3,GX,1,100,-0.305
1706146419.729190,1534338.000,56997,3,GX,1,100,-0.305
1706146419.768690,1534377.500,57012,2,GX,1,100,-0.458
1706146419.808190,1534417.000,57012,2,GX,1,100,-0.519
1706146419.848524,1534457.333,57030,3,GX,1,100,-0.275
1706146419.888857,1534497.667,57030,3,GX,1,100,-0.153
1706146419.929190,1534538.000,57030,3,GX,1,100,-0.305
1706146419.969190,1534578.000,57048,2,GX,1,100,-0.519
1706146420.009190,1534618.000,57048,2,GX,1,100,-0.458
1706146420.048857,1534657.667,57066,3,GX,1,100,-0.427
1706146420.088524,1534697.333,57066,3,GX,1,100,-0.244
1706146420.128190,1534737.000,57066,3,GX,1,100,-0.153
