LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1709251390.866921,1319413.000,23586,3,MZ,1,100,30
1709251390.906920,1319453.000,23586,3,MZ,1,100,29
1709251390.946919,1319493.000,23586,3,MZ,1,100,29
1709251390.986917,1319533.000,23602,3,MZ,1,100,30
1709251391.026916,1319573.000,23602,3,MZ,1,100,32
1709251391.066915,1319613.000,23602,3,MZ,1,100,29
1709251391.106913,1319653.000,23622,2,MZ,1,100,30
1709251391.146912,1319693.000,23622,2,MZ,1,100,30
1709251391.186910,1319733.000,23636,3,MZ,1,100,30
1709251391.226909,1319773.000,23636,3,MZ,1,100,30
1709251391.266908,1319813.000,23636,3,MZ,1,100,30
1709251391.302906,1319849.000,23653,3,MZ,1,100,30
1709251391.338905,1319885.000,23653,3,MZ,1,100,30
1709251391.374904,1319921.000,23653,3,MZ,1,100,30
1709251391.414902,1319961.000,23669,2,MZ,1,100,30
1709251391.454901,1320001.000,23669,2,MZ,1,100,31
1709251391.494900,1320041.000,23687,3,MZ,1,100,30
1709251391.534898,1320081.000,23687,3,MZ,1,100,31
1709251391.574897,1320121.000,23687,3,MZ,1,100,31
1709251391.614896,1320161.000,23701,2,MZ,1,100,30
1709251391.654894,1320201.000,23701,2,MZ,1,100,30
1709251391.694893,1320241.000,23718,3,MZ,1,100,30
1709251391.734891,1320281.000,23718,3,MZ,1,100,29
1709251391.774890,1320321.000,23718,3,MZ,1,100,31
1709251391.814889,1320361.000,23737,3,MZ,1,100,31
1709251391.854887,1320401.000,23737,3,MZ,1,100,31
1709251391.894886,1320441.000,23737,3,MZ,1,100,30
1709251391.934885,1320481.000,23754,2,MZ,1,100,31
1709251391.974883,1320521.000,23754,2,MZ,1,100,31
1709251392.014882,1320561.000,23768,3,MZ,1,100,30
1709251392.054880,1320601.000,23768,3,MZ,1,100,31
1709251392.094879,1320641.000,23768,3,MZ,1,100,30
1709251392.134877,1320681.000,23786,2,MZ,1,100,30
1709251392.174876,1320721.000,23786,2,MZ,1,100,31
